day,psi,kl,rolling_accuracy_as_known_on_this_day
7,0.13383823306395204,0.06898734921468483,
8,0.11082922176585876,0.05613315012657292,
9,0.07401198057180369,0.03655749956114683,
10,0.10262544575725534,0.049103462329435306,
11,0.09960518439325926,0.050019336417671686,
12,0.08302761997984869,0.04145319528737319,0.9547619047619048
13,0.10246870378696052,0.05070321973133391,0.9595238095238096
14,0.12464379240887695,0.05761731751308543,0.9666666666666667
15,0.10779191077192204,0.05091299396352376,0.9714285714285714
16,0.1049417917111449,0.049951955525317046,0.9642857142857143
17,0.07106894549821978,0.034522002883076816,0.9738095238095238
18,0.03814415382821411,0.018705807563404744,0.9738095238095238
19,0.03856860465158275,0.019153330235446082,0.9809523809523809
20,0.029266813777261293,0.014926237354747462,0.9833333333333333
21,0.016782884210551675,0.008199172508946105,0.9833333333333333
22,0.013773348145471447,0.006664124516813863,0.9857142857142858
23,0.02413916523298055,0.012079594478132831,0.9857142857142858
24,0.011819436925347768,0.0060244847384224275,0.9642857142857143
25,0.03204070198178919,0.01598775989624525,0.9619047619047619
26,0.0215506817530465,0.010444642138398103,0.9619047619047619
27,0.025802246425291137,0.012821333185055725,0.9547619047619048
28,0.04090178132593733,0.020375767528197617,0.9476190476190476
29,0.02491810151504624,0.012373688645629967,0.9261904761904762
30,0.028315214218876783,0.013590642739965006,0.9333333333333333
31,0.03560713505898739,0.01772685195466568,0.9547619047619048
32,0.034073273627569976,0.017301901452762405,0.95
33,0.045503191999957976,0.02267548945141242,0.9571428571428572
34,0.056583476767783004,0.028150019425145195,0.9642857142857143
35,0.08933362027609128,0.04499173774551245,0.9714285714285714
36,0.11553702444943476,0.05729693927766149,0.9785714285714285
37,0.10448791575982944,0.051803054280980546,0.9785714285714285
38,0.09742725096735366,0.04799327912117811,0.9785714285714285
39,0.1369212265981011,0.06417352477078728,0.9857142857142858
40,0.09212653924289341,0.042758521488083095,0.9785714285714285
41,0.08780444100360026,0.04216346553575567,0.9714285714285714
42,0.09946144215963759,0.04829237410530644,0.9714285714285714
43,0.07162580453319144,0.03587591516340085,0.9857142857142858
44,0.0864309853656296,0.04300725651104018,0.9785714285714285
45,0.07629549264276458,0.0391336378144818,0.9785714285714285
46,0.043394688928522135,0.02209212690304556,0.9714285714285714
47,0.10120740593772723,0.05415387487874926,0.9642857142857143
48,0.13147942079057787,0.06844374355633606,0.9666666666666667
49,0.20037180276565575,0.10438470912913211,0.9523809523809523
50,0.3268796553388684,0.170714415170634,0.9523809523809523
51,0.4919875182474046,0.2547651975253762,0.9523809523809523
52,0.5439257388362724,0.2752180779204446,0.9380952380952381
53,0.6300709491556886,0.3200103739017442,0.9380952380952381
54,0.5769058412638518,0.29704251162356876,0.95
55,0.5319450938961656,0.2819508861395911,0.9476190476190476
56,0.6062330347644524,0.32072652428396997,0.9547619047619048
57,0.5671735323545039,0.3025012313568101,0.9404761904761905
58,0.6020772178017892,0.31970705739577004,0.9476190476190476
59,0.570606968994597,0.3022639190188326,0.9476190476190476
60,0.49694969946722123,0.25593062945849054,0.9476190476190476
61,0.4543744257556388,0.23459869642262188,0.95
62,0.4526421713449286,0.23549405391287911,0.95
63,0.446317745465158,0.22896225207722426,0.95
64,0.3974899497968318,0.20539227704540514,0.9571428571428572
65,0.30697348948283143,0.15800449482772053,0.95
66,0.3080585391908525,0.16062630317540239,0.9571428571428572
67,0.317267883880635,0.1639425313498452,0.9571428571428572
68,0.3814525250168044,0.19323835494597563,0.9428571428571428
69,0.4625839436161031,0.23479083201980522,0.9357142857142857
70,0.5221364378202249,0.26483558865619206,0.9428571428571428
71,0.5881785502740673,0.29128907514719793,0.9357142857142857
72,0.6509158341913756,0.3286649968694324,0.9428571428571428
73,0.6343860209138709,0.3128913556322877,0.9476190476190476
74,0.5600539733605381,0.2873281753934304,0.9523809523809523
75,0.5280997112351523,0.26932968296635007,0.9666666666666667
76,0.5034240273985379,0.25530361581407035,0.9809523809523809
77,0.4801217284669817,0.247309615392172,0.9738095238095238
78,0.4809920559976742,0.24751734969893305,0.9880952380952381
79,0.4170328745999808,0.21414805097681744,0.9738095238095238
80,0.43031391628152954,0.226661326482564,0.9547619047619048
81,0.43563618985239266,0.228660883164497,0.9428571428571428
82,0.44496316210577236,0.2340074081351371,0.9357142857142857
83,0.3771603165330752,0.19730173481304886,0.9357142857142857
84,0.3905475370085213,0.20280276592516175,0.9428571428571428
85,0.4188709423634803,0.21412654895448696,0.9357142857142857
86,0.47211554546105167,0.24363852794877172,0.95
87,0.5600395230366313,0.27750954587461374,0.9642857142857143
88,0.5667843481194627,0.2896974686015449,0.9642857142857143
89,0.51480964991424,0.2635682525915577,0.9714285714285714
